algorithm,maze_size,walls,goals,crazy_value,time_ms,peak_memory_kb,solution_length,timeout_reached,run
A*,50,875,1,0.1,7.651,44.891,39,False,0
A*,50,875,1,0.1,6.341,36.008,39,False,1
A*,50,875,1,0.1,6.893,36.045,39,False,2
A*,50,875,1,0.1,20.136,36.139,39,False,3
A*,50,875,1,0.1,5.741,36.008,39,False,4
GA Fast,50,875,1,0.1,31093.712,1974.357,-1,True,0
GA Fast,50,875,1,0.1,30126.968,1978.848,-1,True,1
GA Fast,50,875,1,0.1,30076.195,1314.982,-1,True,2
GA Fast,50,875,1,0.1,31563.657,1847.571,-1,True,3
GA Fast,50,875,1,0.1,31882.728,1926.328,-1,True,4
GA Optimal,50,875,1,0.1,32308.793,1822.535,-1,True,0
GA Optimal,50,875,1,0.1,31238.59,1780.035,-1,True,1
GA Optimal,50,875,1,0.1,30886.401,1712.79,-1,True,2
GA Optimal,50,875,1,0.1,31657.628,1662.22,-1,True,3
GA Optimal,50,875,1,0.1,31281.487,1559.455,-1,True,4
A*,50,875,1,0.3,1.772,5.297,13,False,0
A*,50,875,1,0.3,1.473,5.133,13,False,1
A*,50,875,1,0.3,1.388,5.156,13,False,2
A*,50,875,1,0.3,1.447,5.156,13,False,3
A*,50,875,1,0.3,1.521,5.156,13,False,4
GA Fast,50,875,1,0.3,658.175,378.415,11,False,0
GA Fast,50,875,1,0.3,5020.361,620.938,13,False,1
GA Fast,50,875,1,0.3,1450.176,529.665,13,False,2
GA Fast,50,875,1,0.3,1146.047,288.959,11,False,3
GA Fast,50,875,1,0.3,2120.386,639.48,11,False,4
GA Optimal,50,875,1,0.3,30292.626,632.138,-1,True,0
GA Optimal,50,875,1,0.3,30399.823,609.989,15,True,1
GA Optimal,50,875,1,0.3,30523.641,461.718,-1,True,2
GA Optimal,50,875,1,0.3,31447.676,936.094,-1,True,3
GA Optimal,50,875,1,0.3,30597.674,636.828,11,True,4
A*,50,875,1,0.5,843.783,792.605,53,False,0
A*,50,875,1,0.5,812.895,779.078,53,False,1
A*,50,875,1,0.5,119.672,156.059,61,False,2
A*,50,875,1,0.5,884.373,820.277,53,False,3
A*,50,875,1,0.5,104.062,144.105,57,False,4
GA Fast,50,875,1,0.5,32036.755,2161.465,-1,True,0
GA Fast,50,875,1,0.5,31255.893,2046.451,-1,True,1
GA Fast,50,875,1,0.5,30277.585,2093.727,-1,True,2
GA Fast,50,875,1,0.5,30841.783,1768.013,-1,True,3
GA Fast,50,875,1,0.5,30236.199,2002.275,-1,True,4
GA Optimal,50,875,1,0.5,32707.9,1980.639,-1,True,0
GA Optimal,50,875,1,0.5,31811.919,2076.654,-1,True,1
GA Optimal,50,875,1,0.5,33831.194,2264.789,-1,True,2
GA Optimal,50,875,1,0.5,31479.566,2055.805,-1,True,3
GA Optimal,50,875,1,0.5,33118.076,1531.576,-1,True,4
