algorithm,maze_size,walls,goals,crazy_value,time_ms,peak_memory_kb,solution_length,timeout_reached,run
A*,50,875,10,0.05,104.309,155.027,53,False,0
A*,50,875,10,0.05,99.172,153.277,53,False,1
A*,50,875,10,0.05,119.074,156.512,53,False,2
A*,50,875,10,0.05,105.415,154.648,53,False,3
A*,50,875,10,0.05,185.355,241.375,75,False,4
GA Fast,50,875,10,0.05,31822.505,1670.578,-1,True,0
GA Fast,50,875,10,0.05,30317.652,1523.299,-1,True,1
GA Fast,50,875,10,0.05,31665.762,1520.07,-1,True,2
GA Fast,50,875,10,0.05,30763.535,1719.429,-1,True,3
GA Fast,50,875,10,0.05,30727.047,1603.23,-1,True,4
A*,50,875,20,0.05,297.367,517.172,89,False,0
A*,50,875,20,0.05,619.625,796.367,89,False,1
A*,50,875,20,0.05,341.737,517.902,89,False,2
A*,50,875,20,0.05,303.752,516.332,89,False,3
A*,50,875,20,0.05,310.683,516.145,89,False,4
GA Fast,50,875,20,0.05,30396.152,1062.562,-1,True,0
GA Fast,50,875,20,0.05,30731.449,1312.809,-1,True,1
GA Fast,50,875,20,0.05,30093.972,957.1,-1,True,2
GA Fast,50,875,20,0.05,30365.734,865.553,-1,True,3
GA Fast,50,875,20,0.05,30586.303,1294.562,-1,True,4
A*,50,875,5,0.05,189.335,247.438,71,False,0
A*,50,875,5,0.05,187.069,251.445,73,False,1
A*,50,875,5,0.05,196.701,256.172,71,False,2
A*,50,875,5,0.05,193.148,249.617,71,False,3
A*,50,875,5,0.05,193.238,251.133,71,False,4
GA Fast,50,875,5,0.05,30706.351,2060.926,-1,True,0
GA Fast,50,875,5,0.05,31024.951,1335.379,-1,True,1
GA Fast,50,875,5,0.05,31378.196,2010.689,-1,True,2
GA Fast,50,875,5,0.05,31246.38,1895.113,-1,True,3
GA Fast,50,875,5,0.05,30429.58,1532.965,-1,True,4
A*,50,875,10,0.05,14.358,153.695,53,False,0
A*,50,875,10,0.05,57.225,154.652,53,False,1
A*,50,875,10,0.05,14.209,153.633,53,False,2
A*,50,875,10,0.05,20.698,153.633,53,False,3
A*,50,875,10,0.05,248.689,747.766,43,False,4
GA Fast,50,875,10,0.05,30217.116,1753.332,-1,True,0
GA Fast,50,875,10,0.05,30675.081,1724.486,-1,True,1
GA Fast,50,875,10,0.05,30826.232,1764.258,-1,True,2
GA Fast,50,875,10,0.05,30222.092,1667.395,-1,True,3
GA Fast,50,875,10,0.05,30723.417,1602.048,-1,True,4
A*,50,875,20,0.05,60.675,514.879,89,False,0
A*,50,875,20,0.05,58.188,514.379,89,False,1
A*,50,875,20,0.05,56.385,514.684,105,False,2
A*,50,875,20,0.05,142.51,515.504,89,False,3
A*,50,875,20,0.05,192.135,515.965,89,False,4
GA Fast,50,875,20,0.05,30055.414,739.564,-1,True,0
GA Fast,50,875,20,0.05,30268.494,1202.379,-1,True,1
GA Fast,50,875,20,0.05,30086.058,1535.418,-1,True,2
GA Fast,50,875,20,0.05,30022.055,517.448,-1,True,3
GA Fast,50,875,20,0.05,30249.718,648.156,-1,True,4
A*,50,875,5,0.05,87.692,255.988,73,False,0
A*,50,875,5,0.05,89.258,249.918,71,False,1
A*,50,875,5,0.05,79.714,251.074,71,False,2
A*,50,875,5,0.05,47.961,253.199,71,False,3
A*,50,875,5,0.05,85.783,249.285,71,False,4
GA Fast,50,875,5,0.05,30701.676,1569.32,-1,True,0
GA Fast,50,875,5,0.05,30509.278,2012.445,-1,True,1
GA Fast,50,875,5,0.05,30127.655,1627.358,-1,True,2
GA Fast,50,875,5,0.05,30526.197,1665.32,-1,True,3
GA Fast,50,875,5,0.05,30610.885,2113.418,-1,True,4
