algorithm,maze_size,walls,goals,crazy_value,time_ms,peak_memory_kb,solution_length,timeout_reached,run
A*,100,3500,1,0.05,347.196,334.105,165,False,0
A*,100,3500,1,0.05,341.181,278.809,165,False,1
A*,100,3500,1,0.05,339.545,278.809,165,False,2
A*,100,3500,1,0.05,349.387,278.91,165,False,3
A*,100,3500,1,0.05,353.639,279.512,165,False,4
GA Fast,100,3500,1,0.05,30665.21,7104.508,-1,True,0
GA Fast,100,3500,1,0.05,32340.778,6794.9,-1,True,1
GA Fast,100,3500,1,0.05,32049.007,3853.188,-1,True,2
GA Fast,100,3500,1,0.05,35474.288,5400.146,-1,True,3
GA Fast,100,3500,1,0.05,30944.221,3604.037,-1,True,4
GA Optimal,100,3500,1,0.05,35246.553,3465.348,-1,True,0
GA Optimal,100,3500,1,0.05,36264.903,5668.523,-1,True,1
GA Optimal,100,3500,1,0.05,37650.533,4082.303,-1,True,2
GA Optimal,100,3500,1,0.05,39757.727,7335.094,-1,True,3
GA Optimal,100,3500,1,0.05,41972.456,5447.137,-1,True,4
A*,33,381,1,0.05,17.727,45.922,45,False,0
A*,33,381,1,0.05,17.728,45.758,45,False,1
A*,33,381,1,0.05,16.837,45.781,45,False,2
A*,33,381,1,0.05,15.385,45.781,45,False,3
A*,33,381,1,0.05,18.274,45.781,45,False,4
GA Fast,33,381,1,0.05,30067.89,948.797,-1,True,0
GA Fast,33,381,1,0.05,30308.915,753.023,-1,True,1
GA Fast,33,381,1,0.05,30241.92,1071.137,-1,True,2
GA Fast,33,381,1,0.05,30143.922,707.277,-1,True,3
GA Fast,33,381,1,0.05,30387.984,713.39,-1,True,4
GA Optimal,33,381,1,0.05,30555.611,647.252,-1,True,0
GA Optimal,33,381,1,0.05,30352.559,844.68,-1,True,1
GA Optimal,33,381,1,0.05,32544.487,1373.395,-1,True,2
GA Optimal,33,381,1,0.05,31865.958,1288.168,-1,True,3
GA Optimal,33,381,1,0.05,31385.206,1271.105,-1,True,4
A*,67,1571,1,0.05,133.482,79.578,85,False,0
A*,67,1571,1,0.05,128.872,79.438,85,False,1
A*,67,1571,1,0.05,23.263,78.18,85,False,2
A*,67,1571,1,0.05,131.336,79.629,85,False,3
A*,67,1571,1,0.05,119.623,79.391,85,False,4
GA Fast,67,1571,1,0.05,33052.221,2662.164,-1,True,0
GA Fast,67,1571,1,0.05,32278.272,3234.816,-1,True,1
GA Fast,67,1571,1,0.05,33002.721,3288.014,-1,True,2
GA Fast,67,1571,1,0.05,31464.767,3602.971,-1,True,3
GA Fast,67,1571,1,0.05,32278.493,3503.098,-1,True,4
GA Optimal,67,1571,1,0.05,34882.329,3687.568,-1,True,0
GA Optimal,67,1571,1,0.05,35119.118,2866.957,-1,True,1
GA Optimal,67,1571,1,0.05,36693.955,3811.648,-1,True,2
GA Optimal,67,1571,1,0.05,35138.158,2857.66,-1,True,3
GA Optimal,67,1571,1,0.05,33323.154,3342.729,-1,True,4
