algorithm,maze_size,walls,goals,crazy_value,time_ms,peak_memory_kb,solution_length,timeout_reached,run
A*,50,1000,1,0.0,110.38,75.812,65,False,0
A*,50,1000,1,0.0,95.465,75.852,65,False,1
A*,50,1000,1,0.0,26.762,75.203,65,False,2
A*,50,1000,1,0.0,93.463,75.203,65,False,3
A*,50,1000,1,0.0,25.665,75.203,65,False,4
GA Fast,50,1000,1,0.0,30203.372,2753.209,-1,True,0
GA Fast,50,1000,1,0.0,31583.064,2656.309,-1,True,1
GA Fast,50,1000,1,0.0,31822.161,2712.078,-1,True,2
GA Fast,50,1000,1,0.0,32314.608,2704.191,69,True,3
GA Fast,50,1000,1,0.0,32240.571,2682.484,-1,True,4
A*,50,1250,1,0.0,137.327,263.656,491,False,0
A*,50,1250,1,0.0,135.648,263.367,491,False,1
A*,50,1250,1,0.0,136.173,263.297,491,False,2
A*,50,1250,1,0.0,149.7,263.172,491,False,3
A*,50,1250,1,0.0,173.902,263.227,491,False,4
GA Fast,50,1250,1,0.0,32780.955,4299.238,-1,True,0
GA Fast,50,1250,1,0.0,32480.928,4214.727,-1,True,1
GA Fast,50,1250,1,0.0,33134.222,4226.111,-1,True,2
GA Fast,50,1250,1,0.0,33665.588,4387.991,-1,True,3
GA Fast,50,1250,1,0.0,33601.631,4199.764,-1,True,4
A*,50,750,1,0.0,101.202,124.535,69,False,0
A*,50,750,1,0.0,99.527,123.785,69,False,1
A*,50,750,1,0.0,98.134,123.785,69,False,2
A*,50,750,1,0.0,84.734,124.004,69,False,3
A*,50,750,1,0.0,91.522,124.266,69,False,4
GA Fast,50,750,1,0.0,30653.465,3084.635,-1,True,0
GA Fast,50,750,1,0.0,31916.37,3106.439,-1,True,1
GA Fast,50,750,1,0.0,30926.518,3027.223,-1,True,2
GA Fast,50,750,1,0.0,30869.048,3102.539,-1,True,3
GA Fast,50,750,1,0.0,31389.26,3106.379,-1,True,4
A*,50,1000,1,0.0,100.749,75.805,65,False,0
A*,50,1000,1,0.0,95.566,75.555,65,False,1
A*,50,1000,1,0.0,72.677,75.895,65,False,2
A*,50,1000,1,0.0,16.664,75.203,65,False,3
A*,50,1000,1,0.0,17.016,75.203,65,False,4
GA Fast,50,1000,1,0.0,32502.974,2806.426,-1,True,0
GA Fast,50,1000,1,0.0,30159.58,2746.957,-1,True,1
GA Fast,50,1000,1,0.0,30689.56,2758.824,-1,True,2
GA Fast,50,1000,1,0.0,31769.052,2598.051,-1,True,3
GA Fast,50,1000,1,0.0,31971.381,2718.248,-1,True,4
A*,50,1250,1,0.0,140.077,263.25,491,False,0
A*,50,1250,1,0.0,144.332,262.906,491,False,1
A*,50,1250,1,0.0,146.699,262.711,491,False,2
A*,50,1250,1,0.0,139.083,263.32,491,False,3
A*,50,1250,1,0.0,140.39,263.195,491,False,4
GA Fast,50,1250,1,0.0,32545.913,4333.061,-1,True,0
GA Fast,50,1250,1,0.0,32275.613,4241.609,-1,True,1
GA Fast,50,1250,1,0.0,32749.417,4257.702,-1,True,2
GA Fast,50,1250,1,0.0,30418.53,4204.271,-1,True,3
GA Fast,50,1250,1,0.0,35480.507,4341.604,-1,True,4
A*,50,750,1,0.0,57.404,124.496,69,False,0
A*,50,750,1,0.0,12.221,123.555,69,False,1
A*,50,750,1,0.0,12.11,123.555,69,False,2
A*,50,750,1,0.0,11.876,123.555,69,False,3
A*,50,750,1,0.0,52.65,123.555,69,False,4
GA Fast,50,750,1,0.0,30309.4,3156.23,-1,True,0
GA Fast,50,750,1,0.0,26107.522,3147.871,87,False,1
GA Fast,50,750,1,0.0,31667.92,3221.883,-1,True,2
GA Fast,50,750,1,0.0,30920.996,3169.396,-1,True,3
GA Fast,50,750,1,0.0,31403.181,3184.238,-1,True,4
